"Composite Scores For Private, Non-Profit and Proprietary Institutions with Fiscal Years Ending Between 7/1/2022 and 6/30/2023
Grouped by:  State, Institution Name
2238.0,00657400,"St. Luke's Hospital of Bethlehem, PA",Bethlehem,PA,18015-1065,45107.0,Non Profit,2.3
2239.0,04232000,Studio Incamminati,Philadelphia,PA,19148-2384,44804.0,Non Profit,1.5
2240.0,00336900,Susquehanna University,Selinsgrove,PA,17870-1001,45107.0,Non Profit,2.3
2241.0,00337000,Swarthmore College,Swarthmore,PA,19081-1390,45107.0,Non Profit,1.7
2242.0,01252300,Talmudical Yeshiva of Philadelphia,Philadelphia,PA,19131-1296,44773.0,Non Profit,3.0
2243.0,00337500,Theological Seminary Reformed Episcopal Church,BlueBell,PA,19422-1257,44926.0,Non Profit,1.5
2244.0,01239300,Thomas Jefferson University,Philadelphia,PA,19107-5543,45107.0,Non Profit,1.5
2245.0,02129000,Triangle Tech,Greensburg,PA,15601-3304,44834.0,Proprietary,1.9
2246.0,02174400,Triangle Tech,Falls Creek,PA,15840-9544,44834.0,Proprietary,1.9
2247.0,00783900,Triangle Tech,Pittsburgh,PA,15214-3897,44834.0,Proprietary,1.9
2248.0,02299300,Trinity Anglican Seminary,Ambridge,PA,15003-2397,45107.0,Non Profit,3.0
2249.0,00329100,United Lutheran Seminary,Gettysburg,PA,17325-1795,45107.0,Non Profit,2.2
2250.0,00337800,University of Pennsylvania,Philadelphia,PA,19104-6216,45107.0,Non Profit,3.0
2251.0,00338400,University of Scranton,Scranton,PA,18510-4622,45077.0,Non Profit,2.4
2252.0,00335000,University of the Arts (The),Philadelphia,PA,19102-9493,45107.0,Non Profit,1.7
2253.0,00820000,UPMC Jameson School of Nursing,New Castle,PA,16105-2595,44926.0,Non Profit,1.9
2254.0,00489900,UPMC Mercy School of Nursing,Pittsburgh,PA,15219-5166,44926.0,Non Profit,1.9
2255.0,00657700,UPMC Shadyside,Pittsburgh,PA,15232-1381,44926.0,Non Profit,1.9
2256.0,00655100,UPMC St. Margaret School of Nursing,Pittsburgh,PA,15238-3205,44926.0,Non Profit,1.9
2257.0,00338500,Ursinus College,Collegeville,PA,19426-1000,45107.0,Non Profit,2.4
2258.0,00338600,Valley Forge Military College,Wayne,PA,19087-3695,45107.0,Non Profit,1.6
2259.0,00856800,Vet Tech Institute,Pittsburgh,PA,15222-3400,45107.0,Proprietary,3.0
2260.0,00338800,Villanova University,Villanova,PA,19085-1699,45077.0,Non Profit,2.8
2261.0,02192800,Walnut Hill College,Philadelphia,PA,19104-3596,44926.0,Proprietary,1.8
2262.0,00338900,Washington and Jefferson College,Washington,PA,15301-4801,45107.0,Non Profit,2.6
2263.0,00658200,Washington Hospital (The),Washington,PA,15301-3398,45107.0,Non Profit,2.7
2264.0,00339100,Waynesburg University,Waynesburg,PA,15370-1222,45107.0,Non Profit,2.2
2265.0,01162200,Welder Training & Testing Institute,Allentown,PA,18109-3253,45107.0,Proprietary,3.0
2266.0,00658300,Western Pennsylvania Hospital School of Nursing,Pittsburgh,PA,15224-1790,44926.0,Non Profit,1.8
2267.0,00339200,Westminster College,New Wilmington,PA,16172-0002,45107.0,Non Profit,2.2
2268.0,00339300,Westminster Theological Seminary,Glenside,PA,19038-6073,45107.0,Non Profit,3.0
2269.0,00331300,Widener University,Chester,PA,19013-5792,45107.0,Non Profit,3.0
2270.0,00339400,Wilkes University,Wilkes-Barre,PA,18766-0998,45077.0,Non Profit,2.8
2271.0,04123800,Williamson College of the Trades,Media,PA,19063-5299,45107.0,Non Profit,3.0
2272.0,00339600,Wilson College,Chambersburg,PA,17201-1285,45107.0,Non Profit,2.5
2273.0,03949300,Won Institute of Graduate Studies,Warminster,PA,18974-4836,45107.0,Non Profit,1.6
2274.0,04167500,World A Cuts Barber Institute,York,PA,17401-1105,44926.0,Proprietary,2.4
2275.0,01313400,Yeshivath Beth Moshe,Scranton,PA,18505-2196,45107.0,Non Profit,3.0
2276.0,00339900,York College of Pennsylvania,York,PA,17403-3651,45107.0,Non Profit,2.3
2277.0,03122500,Academia Serrant,Ponce,PR,00717-1250,44926.0,Proprietary,2.7
2278.0,03104400,Advantage Technical College,Manati,PR,00674-1797,44926.0,Proprietary,0.7
2279.0,01072400,Albizu University,San Juan,PR,00902-3711,45107.0,Non Profit,2.5
2280.0,02303800,American Educational College,Bayamon,PR,00960-0000,44926.0,Proprietary,2.9
2281.0,04176000,American Technical Institute,Bayamon,PR,00957-0000,45016.0,Proprietary,1.6
2282.0,02234900,Antilles College of Health,Santurce,PR,00909-3006,45107.0,Proprietary,2.6
2283.0,03544300,Atenas College,Manati,PR,00674-0000,45107.0,Non Profit,2.7
2284.0,02505400,Atlantic University,Guaynabo,PR,00970-0000,45107.0,Non Profit,2.7
2285.0,02297700,Automeca Technical College,Bayamon,PR,00957-0000,45107.0,Proprietary,1.8
2286.0,03758300,Bayamon Community College,Bayamon,PR,00960-0000,44926.0,Proprietary,1.9
2287.0,04266800,Caribbean Aviation Training Institute,Carolina,PR,00979-0000,44804.0,Proprietary,1.8
2288.0,03608300,Caribbean Forensic & Technical College,San Juan,PR,00907-0000,44926.0,Proprietary,0.6
2289.0,01252500,Caribbean University,Bayamon,PR,00960-0493,45107.0,Non Profit,2.6
2290.0,02189100,CEM College,San Juan,PR,00926-1931,45107.0,Proprietary,1.8
2291.0,02166000,Centro de Estudios Avanzados de Puerto Rico y el Caribe,Old San Juan,PR,00901-3970,45107.0,Non Profit,2.2
2292.0,03336300,Century College,San Juan,PR,00918-4018,45107.0,Proprietary,1.6
2293.0,03735400,"Charlie's Guard, Detective Bureau, and Academy",Aguadilla,PR,00603-0000,44926.0,Proprietary,1.8
2294.0,03157600,"Colegio de Cinematografia, Artes y Television",Bayamon,PR,00961-6345,44926.0,Proprietary,2.2
2295.0,02552300,Colegio Mayor de Tecnologia,Arroyo,PR,00714-2615,45107.0,Proprietary,1.5
2296.0,03800300,Colegio Tecnico de Electricidad Galloza,Aguada,PR,00602-9818,44926.0,Proprietary,3.0
2297.0,03112100,Dewey University,Hato Rey,PR,00915-9538,45107.0,Non Profit,3.0
2298.0,03070500,D'Mart Institute,Barranquitas,PR,00794-3517,44926.0,Proprietary,2.4
2299.0,02165100,EDP University of Puerto Rico,Hato Rey,PR,00919-2303,45107.0,Non Profit,3.0
2300.0,03075600,Emma's Beauty Academy,Juana Diaz,PR,00795-0000,44926.0,Proprietary,1.6
2301.0,02189300,Emma's Beauty Academy,Mayaguez,PR,00680-4222,45107.0,Proprietary,-0.6
2302.0,03751300,Escuela Hotelera de San Juan,Hato Rey,PR,00917-0091,45107.0,Proprietary,0.3
2303.0,02576100,Escuela Tecnica De Electricidad,Ponce,PR,00730-4875,45107.0,Proprietary,2.5
2304.0,02340600,Humacao Community College,Humacao,PR,00791-4138,45107.0,Non Profit,2.5
2305.0,03781400,Industrial Technical College,Humacao,PR,00791-8480,44926.0,Proprietary,1.8
2306.0,04117200,Instituto Educativo Premier,Ponce,PR,00730-0000,45107.0,Proprietary,2.1
2307.0,00393900,Inter American University of Puerto Rico - Aguadilla Campus,Aguadilla,PR,00605-2000,45107.0,Non Profit,3.0
2308.0,00502600,Inter American University of Puerto Rico - Arecibo Campus,Arecibo,PR,00614-4050,45107.0,Non Profit,3.0
2309.0,00502700,Inter American University of Puerto Rico - Barranquitas Campus,Barranquitas,PR,00794-0517,45107.0,Non Profit,3.0
2310.0,00502800,Inter American University of Puerto Rico - Bayamon Campus,Bayamon,PR,00957-6257,45107.0,Non Profit,3.0
2311.0,02282800,Inter American University of Puerto Rico - Fajardo Campus,Fajardo,PR,00738-7003,45107.0,Non Profit,3.0
2312.0,02282700,Inter American University of Puerto Rico - Guayama Campus,Guayama,PR,00785-4004,45107.0,Non Profit,3.0
2313.0,00394000,Inter American University of Puerto Rico - Metropolitan Campus,San Juan,PR,00919-1293,45107.0,Non Profit,3.0
2314.0,00502900,Inter American University of Puerto Rico - Ponce Campus,Mercedita,PR,00715-1602,45107.0,Non Profit,3.0
2315.0,04254200,Inter American University of Puerto Rico - San German Campus,San German,PR,00683-9801,45107.0,Non Profit,3.0
2316.0,04250900,Inter American University of Puerto Rico - School of Law,Hato Rey,PR,00936-8351,45107.0,Non Profit,3.0
2317.0,04251000,Inter American University of Puerto Rico - School of Optometry,Bayamon,PR,00957-6257,45107.0,Non Profit,3.0
2318.0,03469300,Ivaem College,Caguas,PR,00725-0000,45107.0,Proprietary,1.7
2319.0,02195800,Liceo De Arte y Tecnologia,San Juan,PR,00918-3429,45107.0,Proprietary,3.0
2320.0,03025900,"Liceo de Arte, Disenos y Comercio",Caguas,PR,00725-3503,44926.0,Proprietary,1.5
2321.0,02504500,Mayaguez Institute of Technology,Mayaguez,PR,00680-5045,44926.0,Proprietary,1.0
2322.0,03025500,Mech Tech College,Caguas,PR,00725-6118,44926.0,Proprietary,1.7
2323.0,02195400,Modern Hairstyling Institute,Bayamon,PR,00961-0000,44985.0,Proprietary,2.7
2324.0,02195500,Modern Hairstyling Institute,Arecibo,PR,00612-0000,44985.0,Proprietary,2.7
2325.0,02195900,Modern Hairstyling Institute,Carolina,PR,00985-0000,44985.0,Proprietary,2.7
2326.0,04267000,Neo-Esthetique European Institute,Rio Piedras,PR,00926-0000,44926.0,Proprietary,2.2
2327.0,03124200,Nova College of Puerto Rico,Bayamon,PR,00960-4016,44926.0,Proprietary,1.6
2328.0,00393600,Pontifical Catholic University of Puerto Rico (The),Ponce,PR,00717-0655,45107.0,Non Profit,3.0
2329.0,04240900,PPG Technical College,Caguas,PR,00726-3164,44834.0,Proprietary,1.8
2330.0,03085700,Professional Technical Institution,Bayamon,PR,00959-7061,45107.0,Proprietary,1.0
2331.0,04278900,Professional University Dr. Carlos J. Borrero Rios,San Juan,PR,00918-0000,44926.0,Proprietary,2.6
2332.0,03638300,Rosslyn Training Academy of Cosmetology,Aguada,PR,00602-3225,44926.0,Proprietary,0.2
2333.0,03177300,San Juan Bautista School of  Medicine,Caguas,PR,00725-0000,45107.0,Non Profit,3.0
2334.0,02335500,Theological University of the Caribbean,"St Just,Trujillo Alto",PR,00978-0901,44773.0,Non Profit,3.0
2335.0,03029700,Universal Technology College  of  Puerto Rico,"Aguadilla, PR",PR,00603-1955,44834.0,Non Profit,3.0
2336.0,00394100,Universidad Ana G. Mendez - Carolina Campus,Carolina,PR,00983-2010,44773.0,Non Profit,1.5
2337.0,02587500,Universidad Ana G. Mendez - Cupey Campus,Cupey,PR,00926-2602,44773.0,Non Profit,1.5
2338.0,01171900,Universidad Ana G. Mendez - Gurabo Campus,Gurabo,PR,00778-0000,44773.0,Non Profit,1.5
2339.0,00502200,Universidad Central de Bayamon,Bayamon,PR,00960-1725,45107.0,Non Profit,2.2
2340.0,02163300,Universidad Central del Caribe,Bayamon,PR,00960-6032,45107.0,Non Profit,3.0
2341.0,00393700,Universidad del Sagrado Corazon,San Juan,PR,00914-8505,45107.0,Non Profit,2.2
2342.0,03531300,Universidad Pentecostal Mizpa,Rio Piedras,PR,00928-0966,45107.0,Non Profit,1.6
2343.0,02100000,Universidad Politecnica de Puerto Rico,San Juan,PR,00918-5955,44773.0,Non Profit,3.0
2344.0,00340100,Brown University,Providence,RI,02912-9127,45107.0,Non Profit,3.0
2345.0,00340200,Bryant University,Smithfield,RI,02917-1284,45107.0,Non Profit,3.0
2346.0,04141200,Collectiv Academy,Cranston,RI,02920-0000,44926.0,Proprietary,2.2
2347.0,03732300,IYRS School of Technology & Trades,Newport,RI,02840-6720,45107.0,Non Profit,2.2
2348.0,00340400,Johnson & Wales University,Providence,RI,02903-3703,45107.0,Non Profit,3.0
2349.0,00784500,New England Institute of Technology,East Greenwich,RI,02818-1205,45107.0,Non Profit,3.0
2350.0,02584400,New England Tractor Trailer Training School of Massachusetts,Pawtucket,RI,02860-1752,44926.0,Proprietary,2.1
2351.0,00340600,Providence College,Providence,RI,02918-0001,45107.0,Non Profit,2.4
2352.0,00340900,Rhode Island School of Design,Providence,RI,02903-2784,45107.0,Non Profit,3.0
2353.0,02552400,Academy of Hair Technology,Greenville,SC,29615-2363,45107.0,Proprietary,2.4
2354.0,00341700,Allen University,Columbia,SC,29204-1085,45107.0,Non Profit,3.0
2355.0,04283000,American College of the Building Arts,Charleston,SC,29403-4223,44773.0,Non Profit,1.4
2356.0,00341800,Anderson University,Anderson,SC,29621-4035,45077.0,Non Profit,2.4
2357.0,04222000,Arclabs,Piedmont,SC,29673-6729,44926.0,Proprietary,3.0
2358.0,04243500,Barber Tech Academy,Orangeburg,SC,29115-6069,44926.0,Proprietary,1.6
2359.0,00342000,Benedict College,Columbia,SC,29204-1086,45107.0,Non Profit,3.0
2360.0,00342100,Bob Jones University,Greenville,SC,29614-1000,45077.0,Proprietary,2.1
2361.0,04239000,B-Unique Beauty & Barber Academy,Greenville,SC,29607-2314,44926.0,Proprietary,1.5
2362.0,02356600,Charleston Cosmetology Institute,Charleston,SC,29420-7319,44926.0,Proprietary,2.4
2363.0,04096300,Charleston School of Law,Charleston,SC,29403-6248,44926.0,Proprietary,2.1
2364.0,00341900,Charleston Southern University,Charleston,SC,29406-2160,45077.0,Non Profit,3.0
2365.0,02338600,Charzanne Beauty College,Greenwood,SC,29649-8520,45107.0,Proprietary,0.2
2366.0,00342400,Claflin University,Orangeburg,SC,29115-4498,45107.0,Non Profit,3.0
2367.0,00492300,Clinton College,Rock Hill,SC,29730-5152,45107.0,Non Profit,2.0
2368.0,00342700,Coker University,Hartsville,SC,29550-3797,45107.0,Non Profit,2.4
2369.0,00342900,Columbia International University,Columbia,SC,29203-1599,45107.0,Non Profit,2.4
2370.0,00343100,Converse University,Spartanburg,SC,29302-1931,45107.0,Non Profit,2.2
2371.0,00343400,Furman University,Greenville,SC,29613-5253,45107.0,Non Profit,2.3
2372.0,01209200,Kenneth Shuler School of Cosmetology,Rock Hill,SC,29732-2169,45107.0,Proprietary,2.8
2373.0,03052300,Kenneth Shuler School of Cosmetology & Hair Design,North Augusta,SC,29841-2013,45107.0,Proprietary,2.8
2374.0,02341100,Kenneth Shuler School of Cosmetology & Nails,Columbia,SC,29210-7306,45107.0,Proprietary,2.8
2375.0,03746300,LeGrand Institute of Cosmetology,Camden,SC,29020-0000,44926.0,Proprietary,3.0
2376.0,00343900,Morris College,Sumter,SC,29150-3599,45107.0,Non Profit,2.2
2377.0,00344100,North Greenville University,Tigerville,SC,29688-1892,45077.0,Non Profit,2.6
2378.0,01179900,Paul Mitchell The School Charleston,North Charleston,SC,29418-6993,44834.0,Proprietary,3.0
2379.0,04281900,Personal Touch Beauty and Barber College,Kingstree,SC,29556-3346,44926.0,Proprietary,2.2
2380.0,00344500,Presbyterian College,Clinton,SC,29325-2503,45107.0,Non Profit,2.2
2381.0,02063700,Sherman College of Straight Chiropractic,Spartanburg,SC,29316-7251,44926.0,Non Profit,2.2
2382.0,03746400,Southeastern College,Columbia,SC,29223-0000,44926.0,Proprietary,2.0
2383.0,03555400,Southeastern College,North Charleston,SC,29406-0000,44926.0,Proprietary,2.0
2384.0,04273900,Southeastern Esthetics Institute,Elgin,SC,29045-0000,44926.0,Proprietary,0.8
2385.0,00342200,Southern Wesleyan University,Central,SC,29630-1020,45107.0,Non Profit,2.8
2386.0,00344700,Spartanburg Methodist College,Spartanburg,SC,29301-0000,45107.0,Non Profit,2.8
2387.0,03293300,Strand College of Hair Design,Myrtle Beach,SC,29572-4310,44926.0,Proprietary,3.0
2388.0,04228600,Top of the Line Barber College,Charleston,SC,29403-4814,44926.0,Proprietary,2.7
2389.0,00345500,Voorhees University,Denmark,SC,29042-0000,45107.0,Non Profit,3.0
2390.0,04281500,Vski Cosmetology School,Charleston,SC,29407-4610,44926.0,Proprietary,2.3
2391.0,00345700,Wofford College,Spartanburg,SC,29303-3663,45107.0,Non Profit,2.5
2392.0,00345800,Augustana University,Sioux Falls,SD,57197-0001,44773.0,Non Profit,3.0
2393.0,04244000,California Intercontinental University,Sioux Falls,SD,57103-7045,44926.0,Proprietary,1.6
2394.0,00346100,Dakota Wesleyan University,Mitchell,SD,57301-4398,45077.0,Non Profit,1.5
2395.0,00405600,Kairos University,Sioux Falls,SD,57105-2729,45107.0,Non Profit,3.0
2396.0,00346500,Mount Marty University,Yankton,SD,57078-3724,45107.0,Non Profit,2.4
2397.0,00405700,National American University,Rapid City,SD,57701-3692,45077.0,Proprietary,0.2
2398.0,02297800,Paul Mitchell the School Rapid City,Rapid City,SD,57701-2733,44926.0,Proprietary,0.9
2399.0,01147700,Sanford Medical Center,Sioux Falls,SD,57117-5039,44926.0,Non Profit,2.5
2400.0,01013800,Stewart School,Sioux Falls,SD,57104-0000,44926.0,Proprietary,3.0
2401.0,04294200,Academy of Allied Health Careers,Chattanooga,TN,37411-5336,44926.0,Proprietary,1.1
2402.0,04253100,Allied Health Careers Institute,Murfreesboro,TN,37130-5996,44926.0,Proprietary,3.0
2403.0,01046000,American Baptist Theological Seminary,Nashville,TN,37207-4994,45107.0,Non Profit,1.5
2404.0,02257400,Arnold's Beauty School,Milan,TN,38358-2713,44926.0,Proprietary,1.8
2405.0,04142000,Austin's Beauty College,Clarksville,TN,37040-3397,44926.0,Proprietary,3.0
2406.0,03440300,Baptist Memorial College of Health Sciences,Memphis,TN,38104-3104,44834.0,Non Profit,1.7
2407.0,00347900,Belmont University,Nashville,TN,37212-3757,45077.0,Non Profit,3.0
2408.0,00348000,Bethel University,McKenzie,TN,38201-1705,44773.0,Non Profit,2.6
2409.0,03008800,Brillare Beauty Institute,Cleveland,TN,37312-3939,44926.0,Non Profit,2.0
2410.0,00353600,Bryan College,Dayton,TN,37321-7000,45107.0,Non Profit,3.0
2411.0,00348100,Carson - Newman University,Jefferson City,TN,37760-2204,44773.0,Non Profit,2.6
2412.0,02204200,"Chattanooga College - Medical, Dental and Technical Careers",Chattanooga,TN,37415-6906,44926.0,Proprietary,1.6
2413.0,00348200,Christian Brothers University,Memphis,TN,38104-5581,45077.0,Non Profit,2.1
2414.0,00348500,Cumberland University,Lebanon,TN,37087-3554,45077.0,Non Profit,3.0
2415.0,04246300,EduMed Partners,Goodlettsville,TN,37072-2329,44926.0,Proprietary,2.0
2416.0,04124100,Elite College of Cosmetology,Lexington,TN,38351-1431,44926.0,Proprietary,2.7
2417.0,00349000,Fisk University,Nashville,TN,37208-3045,45107.0,Non Profit,2.9
2418.0,04203600,Franklin Hair Academy School of Cosmetology,Franklin,TN,37064-2126,44926.0,Proprietary,3.0
2419.0,00349200,Freed-Hardeman University,Henderson,TN,38340-2399,45077.0,Non Profit,3.0
2420.0,04238600,Gould's Academy,Memphis,TN,38119-5317,44926.0,Proprietary,2.3
2421.0,02595000,Hair Academy The,Fayetteville,TN,37334-2909,44926.0,Proprietary,2.4
2422.0,04240700,Image Maker Beauty Institute,Hendersonville,TN,37075-4488,44926.0,Proprietary,2.5
2423.0,02275000,Jenny Lea Academy of Cosmetology,Johnson City,TN,37601-4626,44926.0,Proprietary,-0.1
2424.0,00885900,John A Gupton College,Nashville,TN,37203-2934,44926.0,Non Profit,3.0
2425.0,00349500,Johnson University,Knoxville,TN,37998-9775,45107.0,Non Profit,2.2
2426.0,00349600,King University,Bristol,TN,37620-2699,45077.0,Non Profit,1.4
2427.0,00349900,Lane College,Jackson,TN,38301-4598,45107.0,Non Profit,2.2
2428.0,03841300,Lawrenceburg Technical College,Lawrenceburg,TN,38464-3634,44926.0,Proprietary,3.0
2429.0,00350000,Lee University,Cleveland,TN,37311-4475,45107.0,Non Profit,2.4
2430.0,00350100,LeMoyne-Owen College,Memphis,TN,38126-6510,45107.0,Non Profit,3.0
2431.0,00350200,Lincoln Memorial University,Harrogate,TN,37752-7920,45107.0,Non Profit,3.0
2432.0,00348600,Lipscomb University,Nashville,TN,37204-3951,45077.0,Non Profit,2.0
2433.0,04157200,Love Beauty School,Manchester,TN,37355-2950,44926.0,Proprietary,1.6
2434.0,00350500,Maryville College,Maryville,TN,37804-5907,45077.0,Non Profit,2.5
2435.0,04246500,Massage Institute of Memphis (The),Memphis,TN,38104-4138,44926.0,Proprietary,-0.4
2436.0,04258900,Master's Barber & Styling College,Old Hickory,TN,37138-4676,44926.0,Proprietary,-0.6
2437.0,01052900,Memphis Theological Seminary,Memphis,TN,38104-4395,44773.0,Non Profit,2.6
2438.0,00778300,Middle Tennessee School of Anesthesia,Madison,TN,37115-0417,44926.0,Non Profit,3.0
2439.0,04210200,Mid-South Christian College,Memphis,TN,38118-3151,45107.0,Non Profit,2.2
2440.0,02306800,Miller-Motte College,Chattanooga,TN,37421-2569,44926.0,Proprietary,1.5
2441.0,00351100,Milligan University,Milligan,TN,37682-4001,45077.0,Non Profit,2.2
2442.0,04223900,Mind Body Institute,Madison,TN,37115-2120,45107.0,Proprietary,2.3
2443.0,02278700,Mister Wayne's School of Unisex Hair Design,Cookeville,TN,38501-3139,44926.0,Proprietary,2.8
2444.0,04246100,Nashville Film Institute,Nashville,TN,37210-4225,44926.0,Proprietary,2.3
2445.0,03079100,North Central Institute,Clarksville,TN,37042-3116,44926.0,Proprietary,2.4
2446.0,03840300,Omega Graduate School,Dayton,TN,37321-6736,45107.0,Non Profit,3.0
2447.0,02275500,Paul Mitchell the School Knoxville,Knoxville,TN,37919-2117,44926.0,Proprietary,-0.6
2448.0,03253300,Paul Mitchell the School Memphis,Memphis,TN,38111-4067,44926.0,Proprietary,2.1
2449.0,02153100,Paul Mitchell the School Murfreesboro,Murfreesboro,TN,37129-3382,44926.0,Proprietary,1.5
2450.0,02188300,Pentecostal Theological Seminary,Cleveland,TN,37320-3330,45107.0,Non Profit,1.6
2451.0,02539800,Queen City College,Clarksville,TN,37042-3545,45107.0,Proprietary,3.0
2452.0,00351900,Rhodes College,Memphis,TN,38112-1690,45107.0,Non Profit,2.3
2453.0,03355400,Richmont Graduate University,Chattanooga,TN,37404-3026,45107.0,Non Profit,1.9
2454.0,04213800,Salon Professional Academy (The),Nashville,TN,37214-2163,44926.0,Proprietary,2.8
2455.0,04236400,Sandra Academy of Salon Services,New Tazewell,TN,37825-7239,44865.0,Proprietary,2.4
2456.0,00493800,South College,Knoxville,TN,37909-3323,44834.0,Proprietary,2.1
2457.0,00351800,Southern Adventist University,Collegedale,TN,37315-0370,45077.0,Non Profit,2.2
2458.0,00351700,Southern College of Optometry,Memphis,TN,38104-2222,45107.0,Non Profit,2.2
2459.0,04297400,Studio 75 Hair Academy,Millington,TN,38053-2066,45107.0,Proprietary,2.6
2460.0,04300900,Sweetwater Institute of Cosmetology,Sweetwater,TN,37874-3026,44926.0,Proprietary,3.0
2461.0,00956700,Tennessee School of Beauty,Knoxville,TN,37921-3303,44926.0,Proprietary,1.7
2462.0,00352600,Trevecca Nazarene University,Nashville,TN,37210-2877,45107.0,Non Profit,2.9
2463.0,00352700,Tusculum University,Greeneville,TN,37743-0001,45107.0,Non Profit,2.1
2464.0,00352800,Union University,Jackson,TN,38305-3697,44773.0,Non Profit,2.6
2465.0,00353400,University of the South (The),Sewanee,TN,37383-1000,45107.0,Non Profit,3.0
2466.0,04215200,Vibe Barber College,Memphis,TN,38107-2538,44926.0,Proprietary,1.5
2467.0,03001800,Welch College,Gallatin,TN,37066-8460,45077.0,Non Profit,1.9
2468.0,01155300,William R  Moore College of Technology,Memphis,TN,38104-7240,44804.0,Non Profit,2.6
2469.0,03513500,Williamson Christian College,Franklin,TN,37067-8237,45107.0,Non Profit,3.0
2470.0,04168800,ABC Beauty Academy,Richardson,TX,75081-8682,44926.0,Proprietary,3.0
2471.0,00353700,Abilene Christian University,Abilene,TX,79699-3701,45077.0,Non Profit,3.0
2472.0,03276300,Academy of Hair Design,Lufkin,TX,75901-4900,44926.0,Proprietary,1.8
2473.0,03412300,Advanced Barber College & Hair Design,Weslaco,TX,78596-0000,44926.0,Proprietary,2.5
2474.0,04231900,Alamo City Barber College,San Antonio,TX,78250-3227,44926.0,Proprietary,2.5
2475.0,04267200,Allgood Beauty Institute,Frisco,TX,75033-2553,44926.0,Proprietary,1.3
2476.0,02259400,Amberton University,Garland,TX,75041-4707,45077.0,Non Profit,2.2
2477.0,03153300,American College of Acupuncture & Oriental Medicine,Houston,TX,77063-4104,44804.0,Proprietary,2.6
2478.0,04265400,Ann Webb Skin Institute,Austin,TX,78759-3936,44926.0,Proprietary,2.5
2479.0,03156400,AOMA Graduate School of Integrative Medicine,Austin,TX,78745-1479,44926.0,Proprietary,1.5
2480.0,02081400,Arlington Baptist University,Arlington,TX,76012-3425,45077.0,Non Profit,2.8
2481.0,02521200,Arlington Career Institute,Arlington,TX,76006-0000,44926.0,Proprietary,1.5
2482.0,03727600,Auguste Escoffier School of Culinary Arts,Austin,TX,78752-0000,44926.0,Proprietary,2.8
2483.0,04282500,Austin Career Institute,Austin,TX,78752-2911,44926.0,Proprietary,2.5
2484.0,00354300,Austin College,Sherman,TX,75090-4440,45107.0,Non Profit,2.6
2485.0,00354400,Austin Presbyterian Theological Seminary,Austin,TX,78705-5711,45107.0,Non Profit,2.8
2486.0,04142300,Aveda Arts & Sciences Institute Corpus Christi,Corpus Christi,TX,78404-3027,45107.0,Proprietary,1.9
2487.0,04160700,Avenue Five Institute,Austin,TX,78757-7000,44926.0,Proprietary,2.7
2488.0,03573300,Aviation Institute of Maintenance,Irving,TX,75062-6303,44926.0,Proprietary,2.7
2489.0,04146700,Aviation Institute of Maintenance,Houston,TX,77061-4004,44926.0,Proprietary,2.7
2490.0,03110800,Bakke Graduate University,Dallas,TX,75243-7039,45107.0,Non Profit,2.9
2491.0,01226800,Baldwin Beauty Schools,Austin,TX,78704-4785,44926.0,Proprietary,1.7
2492.0,00660600,Baptist Health System School of Health Professions,San Antonio,TX,78229-3234,44926.0,Proprietary,0.1
2493.0,02331200,Baptist Missionary Association Theological Seminary,Jacksonville,TX,75766-5407,45077.0,Non Profit,3.0
2494.0,03733300,Baptist University of the Americas,San Antonio,TX,78224-1443,45107.0,Non Profit,2.5
2495.0,04304700,"Barber Education Academy, (The)",Laredo,TX,78041-6039,44926.0,Proprietary,2.6
2496.0,04302900,Barbers Trade School,Beaumont,TX,77701-3308,44926.0,Proprietary,1.6
2497.0,00354500,Baylor University,Waco,TX,76798-0011,45077.0,Non Profit,3.0
2498.0,04235900,Bella Cosmetology and Barber College,Greenville,TX,75402-0000,44926.0,Proprietary,1.6
2499.0,02058600,BK Cosmo College of Cosmetology,Kerrville,TX,78028-4288,44926.0,Proprietary,0.6
2500.0,04089400,CCI Training Center,Arlington,TX,76011-4857,44926.0,Proprietary,2.9
2501.0,02604700,Center for Advanced Legal Studies,Houston,TX,77042-1912,44926.0,Proprietary,2.8
2502.0,02239100,Central Texas Beauty College 2,Round Rock,TX,78664-4204,44926.0,Proprietary,3.0
2503.0,04117900,Champion Beauty College,Houston,TX,77068-3569,44926.0,Proprietary,-1.0
2504.0,01293000,Charles & Sue's School of Hair Design,Bryan,TX,77802-2798,45107.0,Proprietary,3.0
2505.0,04279400,Christ Mission College,San Antonio,TX,78254-1000,44773.0,Non Profit,1.1
2506.0,03422400,College of Biblical Studies-Houston,Houston,TX,77036-3211,45107.0,Non Profit,2.2
2507.0,03426300,College of Health Care Professions (The),Austin,TX,78723-9802,44926.0,Proprietary,2.9
2508.0,03128100,College of Health Care Professions (The),Houston,TX,77092-8541,44926.0,Proprietary,1.9
2509.0,00355600,Commonwealth Institute of Funeral Service,Houston,TX,77090-5918,44926.0,Non Profit,2.5
2510.0,00355700,Concordia University Texas,Austin,TX,78726-4141,45107.0,Non Profit,2.3
2511.0,04224100,Cosmetology Academy of Texarkana,Texarkana,TX,75503-4855,44926.0,Proprietary,1.7
2512.0,00661200,Covenant School of Nursing and Allied Health,Lubbock,TX,79407-0120,44926.0,Non Profit,0.9
